[08/Feb/2026:06:51:05 +0000] - 200 200 - GET https remote.truepb.net "/guacamole/" [Client 10.50.6.2] [Length 1100] [Gzip 2.56] [Sent-to 10.50.5.51] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:147.0) Gecko/20100101 Firefox/147.0" "-"
[08/Feb/2026:06:51:05 +0000] - 200 200 - GET https remote.truepb.net "/guacamole/api/patches" [Client 10.50.6.2] [Length 785] [Gzip -] [Sent-to 10.50.5.51] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:147.0) Gecko/20100101 Firefox/147.0" "https://remote.truepb.net/guacamole/"
[08/Feb/2026:06:51:06 +0000] - 200 200 - GET https remote.truepb.net "/guacamole/api/languages" [Client 10.50.6.2] [Length 258] [Gzip -] [Sent-to 10.50.5.51] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:147.0) Gecko/20100101 Firefox/147.0" "https://remote.truepb.net/guacamole/"
[08/Feb/2026:06:51:06 +0000] - 200 200 - GET https remote.truepb.net "/guacamole/translations/en.json" [Client 10.50.6.2] [Length 63304] [Gzip -] [Sent-to 10.50.5.51] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:147.0) Gecko/20100101 Firefox/147.0" "https://remote.truepb.net/guacamole/"
[08/Feb/2026:06:51:06 +0000] - 403 403 - POST https remote.truepb.net "/guacamole/api/tokens" [Client 10.50.6.2] [Length 272] [Gzip -] [Sent-to 10.50.5.51] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:147.0) Gecko/20100101 Firefox/147.0" "https://remote.truepb.net/guacamole/"
[08/Feb/2026:06:51:10 +0000] - 303 303 - GET https remote.truepb.net "/guacamole/api/ext/saml/login" [Client 10.50.6.2] [Length 0] [Gzip -] [Sent-to 10.50.5.51] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:147.0) Gecko/20100101 Firefox/147.0" "https://remote.truepb.net/guacamole/"
[08/Feb/2026:06:51:11 +0000] - 303 303 - POST https remote.truepb.net "/guacamole/api/ext/saml/callback" [Client 10.50.6.2] [Length 0] [Gzip -] [Sent-to 10.50.5.51] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:147.0) Gecko/20100101 Firefox/147.0" "https://login.microsoftonline.com/"
[08/Feb/2026:06:51:11 +0000] - 200 200 - GET https remote.truepb.net "/guacamole/?state=SfTK3DWG%2FnRb4rxF0s%2FVg%2FHO6KH%2ByE7JaKEXOY829jix" [Client 10.50.6.2] [Length 1100] [Gzip 2.56] [Sent-to 10.50.5.51] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:147.0) Gecko/20100101 Firefox/147.0" "https://login.microsoftonline.com/"
[08/Feb/2026:06:51:11 +0000] - 200 200 - GET https remote.truepb.net "/guacamole/api/patches" [Client 10.50.6.2] [Length 785] [Gzip -] [Sent-to 10.50.5.51] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:147.0) Gecko/20100101 Firefox/147.0" "https://remote.truepb.net/guacamole/"
[08/Feb/2026:06:51:11 +0000] - 200 200 - GET https remote.truepb.net "/guacamole/api/languages" [Client 10.50.6.2] [Length 258] [Gzip -] [Sent-to 10.50.5.51] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:147.0) Gecko/20100101 Firefox/147.0" "https://remote.truepb.net/guacamole/"
[08/Feb/2026:06:51:11 +0000] - 304 304 - GET https remote.truepb.net "/guacamole/translations/en.json" [Client 10.50.6.2] [Length 0] [Gzip -] [Sent-to 10.50.5.51] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:147.0) Gecko/20100101 Firefox/147.0" "https://remote.truepb.net/guacamole/"
[08/Feb/2026:06:51:11 +0000] - 200 200 - POST https remote.truepb.net "/guacamole/api/tokens" [Client 10.50.6.2] [Length 182] [Gzip -] [Sent-to 10.50.5.51] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:147.0) Gecko/20100101 Firefox/147.0" "https://remote.truepb.net/guacamole/"
[08/Feb/2026:06:51:11 +0000] - 200 200 - GET https remote.truepb.net "/guacamole/api/session/data/mysql-shared/self/effectivePermissions" [Client 10.50.6.2] [Length 240] [Gzip -] [Sent-to 10.50.5.51] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:147.0) Gecko/20100101 Firefox/147.0" "https://remote.truepb.net/guacamole/"
[08/Feb/2026:06:51:11 +0000] - 200 200 - GET https remote.truepb.net "/guacamole/api/session/data/mysql-shared/connectionGroups/ROOT/tree" [Client 10.50.6.2] [Length 123] [Gzip -] [Sent-to 10.50.5.51] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:147.0) Gecko/20100101 Firefox/147.0" "https://remote.truepb.net/guacamole/"
[08/Feb/2026:06:51:11 +0000] - 200 200 - GET https remote.truepb.net "/guacamole/api/session/data/mysql/self/effectivePermissions" [Client 10.50.6.2] [Length 1114] [Gzip -] [Sent-to 10.50.5.51] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:147.0) Gecko/20100101 Firefox/147.0" "https://remote.truepb.net/guacamole/"
[08/Feb/2026:06:51:11 +0000] - 200 200 - GET https remote.truepb.net "/guacamole/api/session/data/mysql/connectionGroups/ROOT/tree" [Client 10.50.6.2] [Length 5223] [Gzip -] [Sent-to 10.50.5.51] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:147.0) Gecko/20100101 Firefox/147.0" "https://remote.truepb.net/guacamole/"
[08/Feb/2026:06:51:11 +0000] - 404 404 - GET https remote.truepb.net "/guacamole/api/session/data/saml/users/msalter%40msxtec.co.uk" [Client 10.50.6.2] [Length 285] [Gzip -] [Sent-to 10.50.5.51] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:147.0) Gecko/20100101 Firefox/147.0" "https://remote.truepb.net/guacamole/"
[08/Feb/2026:06:51:11 +0000] - 200 200 - GET https remote.truepb.net "/guacamole/api/session/data/mysql-shared/activeConnections" [Client 10.50.6.2] [Length 2] [Gzip -] [Sent-to 10.50.5.51] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:147.0) Gecko/20100101 Firefox/147.0" "https://remote.truepb.net/guacamole/"
[08/Feb/2026:06:51:11 +0000] - 200 200 - GET https remote.truepb.net "/guacamole/api/session/data/mysql/activeConnections" [Client 10.50.6.2] [Length 2] [Gzip -] [Sent-to 10.50.5.51] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:147.0) Gecko/20100101 Firefox/147.0" "https://remote.truepb.net/guacamole/"
[08/Feb/2026:06:51:13 +0000] - 200 200 - POST https remote.truepb.net "/guacamole/api/tokens" [Client 10.50.6.2] [Length 182] [Gzip -] [Sent-to 10.50.5.51] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:147.0) Gecko/20100101 Firefox/147.0" "https://remote.truepb.net/guacamole/"
[08/Feb/2026:06:51:13 +0000] - 200 200 - GET https remote.truepb.net "/guacamole/app/element/templates/blank.html" [Client 10.50.6.2] [Length 144] [Gzip 1.20] [Sent-to 10.50.5.51] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:147.0) Gecko/20100101 Firefox/147.0" "https://remote.truepb.net/guacamole/"
[08/Feb/2026:06:51:13 +0000] - 200 200 - GET https remote.truepb.net "/guacamole/api/session/data/mysql/connections/10" [Client 10.50.6.2] [Length 298] [Gzip -] [Sent-to 10.50.5.51] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:147.0) Gecko/20100101 Firefox/147.0" "https://remote.truepb.net/guacamole/"
[08/Feb/2026:06:51:13 +0000] - 200 200 - GET https remote.truepb.net "/guacamole/api/session/tunnels/bac2b9ef-51c4-3dd8-9e9f-88108cc8f6a9/protocol" [Client 10.50.6.2] [Length 5586] [Gzip -] [Sent-to 10.50.5.51] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:147.0) Gecko/20100101 Firefox/147.0" "https://remote.truepb.net/guacamole/"
[08/Feb/2026:06:51:13 +0000] - 200 200 - GET https remote.truepb.net "/guacamole/api/session/tunnels/bac2b9ef-51c4-3dd8-9e9f-88108cc8f6a9/activeConnection/connection/sharingProfiles" [Client 10.50.6.2] [Length 2] [Gzip -] [Sent-to 10.50.5.51] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:147.0) Gecko/20100101 Firefox/147.0" "https://remote.truepb.net/guacamole/"
